2026-03-25 19:16:33 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":3000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"local","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md","C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md","C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory"],"suffix_filters":[".md"],"recursive":false}},"metadata":{}}
2026-03-25 19:16:33 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\embedding_cache\embedding_cache.jsonl, starting with empty cache
2026-03-25 19:16:33 | INFO | local_file_store.py:121 | start | LocalFileStore 'copaw' ready: 0 chunks, metadata at C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\file_store\copaw_file_metadata.json
2026-03-25 19:16:33 | INFO | base_file_watcher.py:86 | start | Started watching: ['C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md', 'C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md', 'C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory']
2026-03-25 19:16:33 | INFO | application.py:266 | start | ReMe Application started
2026-03-25 19:16:33 | INFO | local_file_store.py:461 | clear_all | Cleared all data from LocalFileStore 'copaw'
2026-03-25 19:16:33 | INFO | base_file_watcher.py:81 | _initialize_and_watch | Cleared all indexed data on start
2026-03-25 19:16:33 | INFO | base_file_watcher.py:141 | _scan_existing_files | [SCAN_ON_START] Found 2 existing files matching watch criteria
2026-03-25 19:16:33 | INFO | full_file_watcher.py:66 | _on_changes | delete_file C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\memory.md
2026-03-25 19:16:33 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\memory.md
2026-03-25 19:16:33 | INFO | full_file_watcher.py:78 | _on_changes | File 1 changed: C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\memory.md
2026-03-25 19:16:33 | INFO | full_file_watcher.py:66 | _on_changes | delete_file C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\MEMORY.md
2026-03-25 19:16:33 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\MEMORY.md
2026-03-25 19:16:33 | INFO | full_file_watcher.py:78 | _on_changes | File 1 changed: C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\MEMORY.md
2026-03-25 19:16:33 | INFO | base_file_watcher.py:216 | on_changes | [FullFileWatcher] on_changes: {(<Change.added: 1>, 'C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\memory.md'), (<Change.added: 1>, 'C:\\Users\\adm\\.copaw\\workspaces\\CoPaw_QA_Agent_0.1beta1\\MEMORY.md')}
2026-03-25 19:16:33 | INFO | base_file_watcher.py:143 | _scan_existing_files | [SCAN_ON_START] Added 2 files to memory store
2026-03-25 19:16:33 | INFO | base_file_watcher.py:151 | _scan_existing_files | Found existing file: C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\memory.md, 1 chunks
2026-03-25 19:16:33 | INFO | base_file_watcher.py:151 | _scan_existing_files | Found existing file: C:\Users\adm\.copaw\workspaces\CoPaw_QA_Agent_0.1beta1\MEMORY.md, 1 chunks
